game,data,age,team,opp,result,started,minutes,fg,fga,fgp,fg3,fg3a,fg3p,ft,fta,ftp,orb,drb,totrb,ast,stl,blk,tov,fouls,points
34,2002-01-15,38-332,WAS,SAS,L (-5),1,40:16,5,21,.238,0,0,,10,16,.625,0,1,1,4,0,1,4,0,20
35,2002-01-16,38-333,WAS,NJN,L (-44),1,18:01,4,14,.286,0,0,,2,2,1.000,0,2,2,1,1,1,1,1,10
36,2002-01-19,38-336,WAS,CHI,W (+8),1,40:41,7,21,.333,0,2,.000,2,6,.333,0,12,12,4,2,2,9,4,16
37,2002-01-21,38-338,WAS,MIN,L (-4),1,39:40,12,34,.353,1,4,.250,4,5,.800,4,10,14,3,0,0,1,1,29
38,2002-01-22,38-339,WAS,PHI,L (-7),1,41:38,14,27,.519,1,2,.500,1,1,1.000,2,6,8,6,2,1,5,4,30
39,2002-01-24,38-341,WAS,CLE,W (+9),1,39:53,18,29,.621,0,0,,4,7,.571,1,7,8,2,2,0,0,2,40
40,2002-01-26,38-343,WAS,PHO,W (+10),1,39:54,17,30,.567,0,0,,7,9,.778,2,2,4,7,2,0,2,2,41
41,2002-01-29,38-346,WAS,DET,L (-3),1,41:27,13,30,.433,0,0,,6,8,.750,0,5,5,7,2,0,3,0,32
42,2002-01-31,38-348,WAS,CLE,W (+1),1,39:35,11,27,.407,0,1,.000,4,4,1.000,1,4,5,8,1,0,4,0,26
43,2002-02-01,38-349,WAS,ATL,W (+7),1,37:52,10,24,.417,0,1,.000,8,10,.800,0,4,4,8,2,2,1,2,28
44,2002-02-03,38-351,WAS,IND,W (+20),1,40:42,11,19,.579,1,1,1.000,0,0,,1,4,5,6,0,0,0,2,23
45,2002-02-05,38-353,WAS,TOR,W (+5),1,39:29,10,21,.476,0,1,.000,3,4,.750,1,6,7,5,0,0,2,3,23
46,2002-02-07,38-355,WAS,SAC,W (+7),1,40:47,12,30,.400,0,1,.000,1,1,1.000,2,4,6,9,1,0,1,2,25
47,2002-02-12,38-360,WAS,LAL,L (-9),1,41:02,8,20,.400,0,0,,6,8,.750,0,5,5,6,2,1,4,1,22
48,2002-02-14,38-362,WAS,SAC,L (-16),1,32:28,6,18,.333,0,0,,4,6,.667,0,1,1,4,1,0,3,0,16
49,2002-02-15,38-363,WAS,PHO,W (+1),1,36:36,7,19,.368,0,0,,8,9,.889,0,6,6,4,2,2,5,2,22
50,2002-02-18,39-001,WAS,HOU,L (-13),1,36:21,5,12,.417,0,1,.000,1,2,.500,1,5,6,11,0,0,2,2,11
51,2002-02-21,39-004,WAS,NJN,L (-11),1,37:29,7,17,.412,0,1,.000,2,2,1.000,0,5,5,6,3,0,4,2,16
52,2002-02-23,39-006,WAS,MIA,L (-2),1,37:40,13,25,.520,1,1,1.000,10,12,.833,1,4,5,7,0,0,4,3,37
53,2002-02-24,39-007,WAS,MIA,L (-12),1,29:35,4,13,.308,1,2,.500,0,1,.000,0,5,5,6,3,0,6,2,9
54,2002-03-20,39-031,WAS,DEN,W (+32),0,16:24,2,9,.222,0,0,,3,3,1.000,0,1,1,2,2,0,2,0,7
55,2002-03-21,39-032,WAS,UTA,L (-15),0,22:00,4,12,.333,0,0,,3,4,.750,0,4,4,4,1,0,1,0,11
56,2002-03-24,39-035,WAS,TOR,L (-1),0,22:39,6,17,.353,0,0,,2,2,1.000,0,3,3,2,2,0,3,4,14
57,2002-03-26,39-037,WAS,DEN,W (+16),0,20:04,4,9,.444,0,1,.000,1,3,.333,1,2,3,6,0,0,1,2,9
58,2002-03-29,39-040,WAS,MIL,W (+9),0,26:09,12,22,.545,0,0,,10,12,.833,0,3,3,1,0,0,0,1,34
59,2002-03-31,39-042,WAS,DAL,L (-7),0,27:41,4,14,.286,0,0,,2,2,1.000,1,2,3,5,1,1,2,1,10
60,2002-04-02,39-044,WAS,LAL,L (-20),0,12:16,1,5,.200,0,0,,0,0,,0,3,3,3,0,0,0,1,2
1,2002-10-30,39-255,WAS,TOR,L (-6),0,24:30,4,14,.286,0,0,,0,2,.000,0,3,3,1,3,0,2,3,8
2,2002-10-31,39-256,WAS,BOS,W (+45),0,21:26,8,15,.533,0,0,,5,5,1.000,0,4,4,5,2,1,0,1,21
3,2002-11-02,39-258,WAS,NJN,L (-8),0,27:25,7,16,.438,1,2,.500,6,8,.750,0,2,2,2,2,0,0,2,21
4,2002-11-05,39-261,WAS,MIN,L (-4),0,28:53,5,14,.357,0,0,,0,0,,0,2,2,1,1,0,1,2,10
5,2002-11-06,39-262,WAS,CLE,W (+7),0,24:16,2,6,.333,0,1,.000,2,3,.667,1,2,3,4,3,0,1,3,6
6,2002-11-08,39-264,WAS,LAL,W (+1),0,29:50,9,14,.643,0,0,,7,12,.583,0,3,3,3,2,0,2,4,25
7,2002-11-09,39-265,WAS,CLE,W (+14),0,31:31,5,11,.455,0,1,.000,2,2,1.000,2,6,8,6,0,2,0,3,12
8,2002-11-12,39-268,WAS,SEA,L (-6),0,30:35,13,22,.591,0,0,,1,2,.500,1,5,6,4,1,1,4,1,27
9,2002-11-14,39-270,WAS,UTA,W (+3),0,33:42,7,17,.412,0,1,.000,5,5,1.000,0,6,6,1,1,0,3,4,19
10,2002-11-16,39-272,WAS,MIA,W (+30),0,18:48,4,5,.800,0,0,,0,0,,0,5,5,2,2,0,1,3,8
11,2002-11-17,39-273,WAS,PHI,L (-16),0,27:49,9,16,.563,1,2,.500,0,0,,0,2,2,3,1,0,5,1,19
12,2002-11-22,39-278,WAS,HOU,L (-7),0,29:28,4,15,.267,0,0,,0,0,,0,2,2,1,0,0,1,2,8
13,2002-11-23,39-279,WAS,MEM,L (-11),0,31:37,9,18,.500,0,0,,2,2,1.000,2,4,6,5,2,0,3,1,20
14,2002-11-26,39-282,WAS,IND,L (-4),0,33:41,10,21,.476,3,3,1.000,5,8,.625,0,1,1,2,3,0,1,2,28
15,2002-11-29,39-285,WAS,IND,L (-16),0,30:20,6,15,.400,0,1,.000,2,2,1.000,0,4,4,1,1,0,1,2,14
16,2002-11-30,39-286,WAS,PHI,L (-1),1,37:07,8,20,.400,0,2,.000,0,0,,1,3,4,2,0,1,2,3,16
17,2002-12-03,39-289,WAS,MIL,W (+25),1,29:44,9,20,.450,0,0,,7,8,.875,0,7,7,4,0,0,1,1,25
18,2002-12-04,39-290,WAS,DET,W (+5),1,38:38,5,14,.357,0,0,,11,16,.688,2,7,9,4,6,2,3,2,21
19,2002-12-06,39-292,WAS,ORL,L (-10),1,38:50,7,21,.333,0,0,,2,2,1.000,1,5,6,0,0,0,3,3,16
20,2002-12-07,39-293,WAS,NYK,W (+3),1,37:04,9,18,.500,0,1,.000,2,4,.500,0,9,9,2,3,0,2,3,20
21,2002-12-10,39-296,WAS,POR,L (-19),1,28:31,6,10,.600,0,0,,2,2,1.000,2,3,5,1,1,1,1,0,14
22,2002-12-13,39-299,WAS,NJN,L (-14),1,40:14,5,20,.250,0,0,,2,2,1.000,0,5,5,4,2,0,4,2,12
23,2002-12-15,39-301,WAS,TOR,W (+13),1,39:32,1,9,.111,0,0,,0,0,,2,6,8,9,2,1,0,2,2
24,2002-12-17,39-303,WAS,ATL,W (+10),1,37:47,12,18,.667,0,0,,6,6,1.000,0,3,3,2,0,0,1,3,30
25,2002-12-18,39-304,WAS,MEM,W (+18),1,35:28,14,23,.609,2,3,.667,3,3,1.000,0,5,5,2,3,0,3,0,33
26,2002-12-21,39-307,WAS,SAS,L (-11),1,41:00,8,20,.400,0,0,,0,0,,0,5,5,3,0,1,2,1,16
27,2002-12-23,39-309,WAS,DAL,L (-6),1,36:05,5,15,.333,1,1,1.000,2,2,1.000,0,7,7,8,0,2,3,3,13
